City / Town,,Region,Remoteness Areas,Locality,Australian Indigenious Language nfd,Arnhem Land and Daly River Region Languages,Yolngu Matha,Cape York Peninsula Languages,Torres Strait Island Languages,Northern Desert Fringe Area Languages,Arandic,Western Desert Languages,Kimberley Area Languages,Other Australian Indigenous Languages
Koorabye,45,Kimberley,Very Remote,St George Ranges,0,0,0,0,0,3,0,0,0,36
Kupartiya,25,Kimberley,Very Remote,Mueller Ranges,0,0,0,0,0,25,0,0,0,0
Kupungarri,92,Kimberley,Very Remote,King Leopold Ranges,3,0,0,0,0,0,0,0,0,31
Kurlku,10,Kimberley,Very Remote,St George Ranges,0,0,0,0,0,0,0,0,0,10
Kurnangki,108,Kimberley,Very Remote,Fitzroy Crossing,0,0,0,0,0,0,0,0,0,108
Kurrawang,90,Goldfields - Esperance,Remote,Mount Burges,0,0,0,0,0,0,0,20,0,0
Kutkabubba,20,Mid West,Very Remote,Wiluna,0,0,0,0,0,0,0,18,0,0
La Djardarr Bay,27,Kimberley,Very Remote,Dampier Peninsula,0,0,0,0,0,0,0,0,27,0
Larinyuwar,30,Kimberley,Very Remote,Kimbolton,0,0,0,0,0,0,0,0,0,30
Linga,12,Kimberley,Very Remote,Ord River,0,0,0,0,0,12,0,0,0,0
Lombadina,41,Kimberley,Very Remote,Dampier Peninsula,0,0,0,0,0,0,0,0,41,0
Loumard,0,Kimberley,Very Remote,Dampier Peninsula,0,0,0,0,0,0,0,0,0,0
Luluigui,0,Kimberley,Very Remote,Geegully Creek,0,0,0,0,0,0,0,0,0,0
Lumuku,11,Kimberley,Very Remote,Ord River,0,0,0,0,0,11,0,0,0,0
Koongie Park,31,Kimberley,Very Remote,Mueller Ranges,0,0,0,0,0,31,0,0,0,0
Lundja,34,Kimberley,Very Remote,Halls Creek,9,0,24,0,0,48,0,0,11,0
Mingalkala,47,Kimberley,Remote,Mueller Ranges,0,0,0,0,0,47,0,0,0,0
Mallingbar,6,Kimberley,Very Remote,Broome,0,0,0,0,0,0,0,0,6,0
Mandangala,42,Kimberley,Very Remote,Lake Argyle,0,0,0,0,0,0,0,0,42,0
Mantamaru,128,Goldfields - Esperance,Very Remote,Ngaanyatjarra-Giles,35,0,0,0,0,0,0,58,0,0
Mardiwah Loop,324,Kimberley,Very Remote,Halls Creek,9,0,24,0,0,48,0,0,11,0
Marmion Village,8,Goldfields - Esperance,Remote,Menzies,2,0,0,0,0,0,0,6,0,0
Marta Marta,10,Pilbara,Very Remote,De Grey,0,0,0,0,0,0,0,10,0,0
Maddarr,12,Kimberley,Very Remote,Dampier Peninsula,0,0,0,0,0,0,0,0,12,0
Mcgowan Island,5,Kimberley,Very Remote,Drysdale River,0,0,0,0,0,0,0,0,5,0
Mercedes Cove,6,Kimberley,Very Remote,Dampier Peninsula,0,0,0,0,0,0,0,0,6,0
Milba,5,Kimberley,Very Remote,Ord River,0,0,0,0,0,5,0,0,0,0
Mimbi,17,Kimberley,Very Remote,Mueller Ranges,0,0,0,0,0,17,0,0,0,0
Mingullatharndo,29,Pilbara,Very Remote,Roebourne,0,0,0,0,0,0,0,29,0,0
Billiluna,150,Kimberley,Very Remote,Sturt Creek,27,0,0,0,0,33,0,6,3,13
Miniata,8,Kimberley,Very Remote,Kununurra,0,0,0,0,0,0,0,0,8,0
Mindi Rardi,79,Kimberley,Very Remote,Fitzroy Crossing,12,0,0,0,0,42,0,8,3,89
Mirima,202,Kimberley,Remote,Kununurra,35,4,0,0,0,14,0,0,54,0
Monbon,28,Kimberley,Very Remote,Dampier Peninsula,0,0,0,0,0,0,0,0,28,0
Moongardie,26,Kimberley,Very Remote,Mueller Ranges,0,0,0,0,0,26,0,0,0,0
Morard,9,Kimberley,Very Remote,Dampier Peninsula,0,0,0,0,0,0,0,0,9,0
Mowla Bluff,6,Kimberley,Very Remote,Geegully Creek,0,0,0,0,0,0,0,0,0,6
Mowanjum,312,Kimberley,Very Remote,Derby,3,0,0,0,0,6,0,0,32,0
Mudnunn,8,Kimberley,Very Remote,Dampier Peninsula,0,0,0,0,0,0,0,0,8,0
Yandeyarra,126,Pilbara,Very Remote,Marble Bar,0,0,0,0,0,0,0,0,0,81
Mulan,110,Kimberley,Very Remote,Sturt Creek,9,0,0,0,0,4,0,10,0,5
Mulga Queen,45,Goldfields - Esperance,Very Remote,Bandya,0,0,0,0,0,0,0,45,0,0
Muludja,163,Kimberley,Very Remote,St George Ranges,14,0,0,0,0,4,0,0,30,97
Mungullah,186,Gascoyne,Remote,Greys Plain,5,0,0,0,0,0,0,0,0,27
Munmarul,14,Kimberley,Very Remote,King Leopold Ranges,0,0,0,0,0,0,0,0,0,14
Munthanmar,9,Kimberley,Very Remote,Lake Argyle,0,0,0,0,0,0,0,0,9,0
Murphy Creek,1,Kimberley,Very Remote,Dampier Peninsula,0,0,0,0,0,0,0,0,1,0
Nambi Village,40,Goldfields - Esperance,Very Remote,Leonora,0,0,0,0,0,0,0,40,0,0
Neem,10,Kimberley,Very Remote,Dampier Peninsula,0,0,0,0,0,0,0,0,10,0
Ngallagunda,75,Kimberley,Very Remote,Gibb,0,0,0,0,0,0,0,0,75,0
Ngadalargin,2,Kimberley,Very Remote,Dampier Peninsula,0,0,0,0,0,0,0,0,2,0
Ngalingkadji,42,Kimberley,Very Remote,St George Ranges,0,0,0,0,0,0,0,0,0,42
Marunbabidi,0,Kimberley,Very Remote,Prince Regent River,0,0,0,0,0,0,0,0,0,0
Jundaru,14,Pilbara,Very Remote,Peedamulla,0,0,0,0,0,0,0,14,0,0
Punju Njamal,6,Pilbara,Very Remote,Pippingarra,0,0,0,0,0,0,0,6,0,0
Lamboo Station,25,Kimberley,Very Remote,Mueller Ranges,0,0,0,0,0,25,0,0,0,0
Ngurawaana,30,Pilbara,Very Remote,Fortescue,0,0,0,0,0,0,0,30,0,0
Ngumpan,40,Kimberley,Very Remote,Mueller Ranges,0,0,0,0,0,0,0,0,0,40
Ngurtuwarta,40,Kimberley,Very Remote,Mount Hardman,0,0,0,0,0,0,0,0,0,40
Ngulwirriwirri,0,Kimberley,Very Remote,Lake Argyle,0,0,0,0,0,0,0,0,0,0
Nicholson Block,60,Kimberley,Very Remote,Halls Creek,9,0,0,0,0,13,0,4,0,0
Nillygan,14,Kimberley,Very Remote,Dampier Peninsula,0,0,0,0,0,0,0,0,14,0
Nillir Irbanjin,0,Kimberley,Remote,Djugun,0,0,0,0,0,0,0,0,0,0
Ningbingi,30,Kimberley,Very Remote,Cambridge Gulf,0,0,0,0,0,0,0,0,30,0
Ninga Mia Village,56,Goldfields - Esperance,Outer Regional,Parkeston,0,0,0,0,0,0,0,23,0,0
Norman Creek,9,Kimberley,Very Remote,Dampier Peninsula,0,0,0,0,0,0,0,0,9,0
Nudugun,8,Kimberley,Very Remote,Dampier Peninsula,0,0,0,0,0,0,0,0,8,0
Nulleywah,137,Kimberley,Remote,Kununurra,0,0,0,0,0,0,0,0,137,0
Ngamakoon,30,Kimberley,Very Remote,Dampier Peninsula,0,0,0,0,0,0,0,0,30,0
Nunju Yallet,5,Kimberley,Very Remote,Dampier Peninsula,0,0,0,0,0,0,0,0,5,0
Nulla Nulla,20,Kimberley,Very Remote,Oombulgurri,0,0,0,0,0,0,0,0,20,0
Nygah Nygah,4,Kimberley,Very Remote,Lagrange,0,0,0,0,0,0,0,0,4,0
Jarlmadanka,7,Kimberley,Very Remote,Camballin,0,0,0,0,0,0,0,0,0,7
Nyumwah,10,Kimberley,Very Remote,Dampier Peninsula,0,0,0,0,0,0,0,0,10,0
Loongabid,15,Kimberley,Very Remote,Dampier Peninsula,0,0,0,0,0,0,0,0,15,0
Pago,3,Kimberley,Very Remote,Drysdale River,0,0,0,0,0,0,0,0,3,0
Papulankutja,176,Goldfields - Esperance,Very Remote,Ngaanyatjarra-Giles,4,0,0,0,0,0,0,135,0,0
Parnngurr,153,Pilbara,Very Remote,Telfer,0,0,0,0,0,0,0,98,0,0
Parukupan,26,Kimberley,Very Remote,Fitzroy Crossing,0,0,0,0,0,0,0,0,0,26
Patch Up,5,Kimberley,Very Remote,Mueller Ranges,0,0,0,0,0,5,0,0,0,0
Patjarr,41,Goldfields - Esperance,Very Remote,Gibson Desert South,0,0,0,0,0,0,0,41,0,0
Tjuntjuntjara,184,Goldfields - Esperance,Very Remote,Plumridge Lakes,0,0,0,0,0,0,0,152,0,0
Mia Maya,2,Kimberley,Very Remote,Dampier Peninsula,0,0,0,0,0,0,0,0,2,0
Pia Wadjari,56,Mid West,Very Remote,South Murchison,0,0,0,0,0,0,0,56,0,0
Girriyoowa,42,Kimberley,Very Remote,Mueller Ranges,0,0,0,0,0,42,0,0,0,0
Parnpajinya,60,Pilbara,Very Remote,Newman,0,0,0,0,3,0,0,50,0,0
Rarrdjali,12,Kimberley,Very Remote,Roebuck,0,0,0,0,0,0,0,0,12,0
Robe River Junction,4,Kimberley,Very Remote,Ord River,0,0,0,0,0,4,0,0,0,0
Red Shells,3,Kimberley,Very Remote,Dampier Peninsula,0,0,0,0,0,0,0,0,3,0
Mud Springs,13,Kimberley,Very Remote,Kununurra,0,0,0,0,0,0,0,0,13,0
Rocky Springs,0,Kimberley,Very Remote,Mueller Ranges,0,0,0,0,0,0,0,0,0,0
Crocodile Hole,16,Kimberley,Very Remote,Durack,0,0,0,0,0,0,0,0,16,0
Tappers Inlet,12,Kimberley,Very Remote,Dampier Peninsula,0,0,0,0,0,0,0,0,12,0
Tirralintji,13,Kimberley,Very Remote,Mueller Ranges,0,0,0,0,0,0,0,0,0,13
Tkalka Boorda,1,Pilbara,Remote,Port Hedland,0,0,0,0,0,0,0,0,0,1
Tjirrkarli,62,Goldfields - Esperance,Very Remote,Gibson Desert South,0,0,0,0,0,0,0,62,0,0
Tjukurla,54,Goldfields - Esperance,Very Remote,Ngaanyatjarra-Giles,0,0,0,0,0,0,0,54,0,0
Malaburra,0,Kimberley,Very Remote,Dampier Peninsula,0,0,0,0,0,0,0,0,0,0
Warburton,576,Goldfields - Esperance,Very Remote,Warburton,54,0,0,0,0,0,0,411,0,0
Wakathuni,91,Pilbara,Very Remote,Rocklea,0,0,0,0,0,0,0,91,0,0
Yiramalay,0,Kimberley,Very Remote,King Leopold Ranges,0,0,0,0,0,0,0,0,0,0
Wanamulnyundong,20,Kimberley,Very Remote,Lagrange,0,0,0,0,0,0,0,0,20,0
Wangkatjungka,254,Kimberley,Very Remote,St George Ranges,16,0,0,0,0,11,0,24,4,136
Warakurna,268,Goldfields - Esperance,Very Remote,Ngaanyatjarra-Giles,0,0,0,0,0,0,0,220,0,0
Warmun,366,Kimberley,Very Remote,Warmun,51,0,0,0,0,4,0,0,91,22
Warralong,113,Pilbara,Very Remote,Marble Bar,0,0,0,0,0,0,0,8,0,84
Warrayu,45,Kimberley,Very Remote,Wyndham,0,0,0,0,0,0,0,0,45,0
Gullaweed,15,Kimberley,Very Remote,Dampier Peninsula,0,0,0,0,0,0,0,0,15,0
White Gum Park,0,Kimberley,Very Remote,Dampier Peninsula,0,0,0,0,0,0,0,0,0,0
Wijilawarrim,46,Kimberley,Very Remote,Lake Argyle,0,0,0,0,0,0,0,0,46,0
Windidda,35,Mid West,Very Remote,Lake Carnegie,0,0,0,0,0,0,0,35,0,0
Windjingayr,30,Kimberley,Very Remote,King Leopold Ranges,0,0,0,0,0,0,0,0,0,30
Balgo,359,Kimberley,Very Remote,Tanami,86,0,6,0,0,29,0,56,0,3
Wongatha Wonganarra,51,Goldfields - Esperance,Very Remote,Laverton,0,0,0,0,0,0,0,51,0,0
Woolergerberleng,19,Kimberley,Very Remote,Lake Argyle,0,0,0,0,0,0,0,0,19,0
Woolah,64,Kimberley,Very Remote,Durack,6,0,0,0,0,0,0,0,0,0
Wuggubun,50,Kimberley,Very Remote,Durack,0,0,0,0,0,0,0,0,50,0
Middle Lagoon,9,Kimberley,Very Remote,Dampier Peninsula,0,0,0,0,0,0,0,0,9,0
Wungu,4,Kimberley,Very Remote,Ord River,0,0,0,0,0,4,0,0,0,0
Frog Hollow,50,Kimberley,Very Remote,Ord River,0,0,0,0,0,50,0,0,0,0
Yakanarra,134,Kimberley,Very Remote,St George Ranges,0,0,0,0,0,25,0,0,0,98
Ngarlan Burr,0,Kimberley,Very Remote,Dampier Peninsula,0,0,0,0,0,0,0,0,0,0
Yandarinya,14,Kimberley,Very Remote,Eighty Mile Beach,0,0,0,0,0,0,0,0,14,0
Yarri Yarri,0,Kimberley,Very Remote,St George Ranges,0,0,0,0,0,0,0,0,0,0
Dingo Springs,8,Kimberley,Very Remote,Lake Argyle,0,0,0,0,0,0,0,0,8,0
Yawuru,7,Kimberley,Remote,Roebuck,0,0,0,0,0,0,0,0,7,0
Yirralalem,20,Kimberley,Very Remote,Kununurra,0,0,0,0,0,0,0,0,20,0
Yiyili,101,Kimberley,Very Remote,Mueller Ranges,0,0,0,0,0,101,0,0,0,0
Youngaleena,29,Pilbara,Very Remote,Mulga Downs,0,0,0,0,0,0,0,29,0,0
Yulmbu,15,Kimberley,Very Remote,Mueller Ranges,0,0,0,0,0,0,0,0,0,15
Yulga Jinna,47,Mid West,Very Remote,Peak Hill,0,0,0,0,0,0,0,47,0,0
Yungngora,409,Kimberley,Very Remote,Mount Hardman,11,0,0,0,0,52,0,0,8,274
Karalundi,67,Mid West,Very Remote,Meekatharra,0,0,0,0,0,0,0,67,0,0
Butchilbidi,0,Kimberley,Very Remote,Mueller Ranges,0,0,0,0,0,0,0,0,0,0
Budulah,26,Kimberley,Very Remote,Derby,0,0,0,0,0,0,0,0,0,26
Buningbarr,0,Kimberley,Very Remote,Dampier Peninsula,0,0,0,0,0,0,0,0,0,0
Bungardi,9,Kimberley,Very Remote,Fitzroy Crossing,0,0,0,0,0,0,0,0,0,9
Burrinunga,30,Kimberley,Very Remote,Derby,0,0,0,0,0,0,0,0,0,30
Bygnunn,1,Kimberley,Very Remote,Dampier Peninsula,0,0,0,0,0,0,0,0,1,0
Carranya,0,Kimberley,Very Remote,Sturt Creek,0,0,0,0,0,0,0,0,0,0
Carson River,0,Kimberley,Very Remote,Drysdale River,0,0,0,0,0,0,0,0,0,0
Camp 61,0,Pilbara,Very Remote,Newman,0,0,0,0,0,0,0,0,0,0
Goombading,0,Kimberley,Very Remote,Dampier Peninsula,0,0,0,0,0,0,0,0,0,0
Djilimbardi,0,Kimberley,Very Remote,St George Ranges,0,0,0,0,0,0,0,0,0,0
Djimung Nguda,8,Kimberley,Very Remote,Derby,0,0,0,0,0,0,0,0,0,8
Five Mile,0,Pilbara,Very Remote,Nullagine,0,0,0,0,0,0,0,0,0,0
Fletcher Family,0,Kimberley,Very Remote,Ord River,0,0,0,0,0,0,0,0,0,0
Gilungarra,0,Kimberley,Very Remote,Sturt Creek,0,0,0,0,0,0,0,0,0,0
Goonjarlan,0,Kimberley,Very Remote,Dampier Peninsula,0,0,0,0,0,0,0,0,0,0
Goobiny,0,Kimberley,Very Remote,Dampier Peninsula,0,0,0,0,0,0,0,0,0,0
Gudargie,0,Kimberley,Very Remote,Mueller Ranges,0,0,0,0,0,0,0,0,0,0
Kumbrarumba,0,Kimberley,Very Remote,Kununurra,0,0,0,0,0,0,0,0,0,0
Malangan,0,Kimberley,Very Remote,Ord River,0,0,0,0,0,0,0,0,0,0
Jalyirr,0,Kimberley,Very Remote,Tanami,0,0,0,0,0,0,0,0,0,0
Jinparinya,12,Pilbara,Very Remote,Pippingarra,0,0,0,0,0,0,0,12,0,0
Jinyaadi,0,Kimberley,Very Remote,Dampier Peninsula,0,0,0,0,0,0,0,0,0,0
Djugaragyn,8,Kimberley,Very Remote,Dampier Peninsula,0,0,0,0,0,0,0,0,8,0
Kalyadayan,0,Kimberley,Very Remote,Lagrange,0,0,0,0,0,0,0,0,0,0
Karrku,0,Goldfields - Esperance,Very Remote,Ngaanyatjarra-Giles,0,0,0,0,0,0,0,0,0,0
Kawarre,0,Kimberley,Very Remote,Purnululu,0,0,0,0,0,0,0,0,0,0
Kayirriwarney,0,Kimberley,Very Remote,Ord River,0,0,0,0,0,0,0,0,0,0
Killi Killi,0,Kimberley,Very Remote,Tanami,0,0,0,0,0,0,0,0,0,0
Desert Gold,0,Mid West,Very Remote,Wiluna,0,0,0,0,0,0,0,0,0,0
Kurinyjarn,0,Kimberley,Very Remote,Mueller Ranges,0,0,0,0,0,0,0,0,0,0
Millargoon,0,Kimberley,Very Remote,Dampier Peninsula,0,0,0,0,0,0,0,0,0,0
Morrell Park,80,Kimberley,Remote,Roebuck,0,0,0,0,0,0,0,0,80,0
Madunka Ewurry,0,Mid West,Very Remote,Meekatharra,0,0,0,0,0,0,0,0,0,0
Majaddin,0,Kimberley,Very Remote,King Leopold Ranges,0,0,0,0,0,0,0,0,0,0
Bindoola,0,Kimberley,Very Remote,Oombulgurri,0,0,0,0,0,0,0,0,0,0
Munget,10,Kimberley,Very Remote,Dampier Peninsula,0,0,0,0,0,0,0,0,10,0
Munjari,0,Kimberley,Very Remote,Mueller Ranges,0,0,0,0,0,0,0,0,0,0
Mundud,0,Kimberley,Very Remote,Dampier Peninsula,0,0,0,0,0,0,0,0,0,0
Ngarantjadu,0,Kimberley,Very Remote,Mueller Ranges,0,0,0,0,0,0,0,0,0,0
Cattle Creek,0,Kimberley,Very Remote,Ord River,0,0,0,0,0,0,0,0,0,0
Ngildu,0,Kimberley,Very Remote,Oombulgurri,0,0,0,0,0,0,0,0,0,0
Ngulupi,0,Kimberley,Very Remote,Tanami,0,0,0,0,0,0,0,0,0,0
Ngyallawilli,0,Kimberley,Very Remote,Ord River,0,0,0,0,0,0,0,0,0,0
Nilargoon,0,Kimberley,Very Remote,Dampier Peninsula,0,0,0,0,0,0,0,0,0,0
Billanooka,0,Pilbara,Very Remote,Newman,0,0,0,0,0,0,0,0,0,0
Nyilil,0,Kimberley,Very Remote,Dampier Peninsula,0,0,0,0,0,0,0,0,0,0
Pantijan,0,Kimberley,Very Remote,Prince Regent River,0,0,0,0,0,0,0,0,0,0
Pipunya,0,Pilbara,Very Remote,Marble Bar,0,0,0,0,0,0,0,0,0,0
Puntawari,0,Mid West,Very Remote,Little Sandy Desert,0,0,0,0,0,0,0,0,0,0
Robertson Range,0,Pilbara,Very Remote,Newman,0,0,0,0,0,0,0,0,0,0
Rollah,8,Kimberley,Very Remote,Lagrange,0,0,0,0,0,0,0,0,8,0
Strelley,0,Pilbara,Very Remote,Strelley,0,0,0,0,0,0,0,0,0,0
Walgun,0,Pilbara,Very Remote,Newman,0,0,0,0,0,0,0,0,0,0
Worrimbah,0,Kimberley,Very Remote,Mount Hardman,0,0,0,0,0,0,0,0,0,0
White Rock,0,Kimberley,Very Remote,Mueller Ranges,0,0,0,0,0,0,0,0,0,0
Windong,0,Kimberley,Very Remote,Lake Argyle,0,0,0,0,0,0,0,0,0,0
Woodstock,0,Pilbara,Very Remote,Marble Bar,0,0,0,0,0,0,0,0,0,0
Flying Foxhole,0,Kimberley,Very Remote,Lake Argyle,0,0,0,0,0,0,0,0,0,0
Wulununjur,0,Kimberley,Very Remote,Dampier Peninsula,0,0,0,0,0,0,0,0,0,0
Yardoogarra,0,Kimberley,Very Remote,Lagrange,0,0,0,0,0,0,0,0,0,0
Yarrunga,0,Kimberley,Very Remote,Ord River,0,0,0,0,0,0,0,0,0,0
Yarramurral,0,Kimberley,Very Remote,Tanami,0,0,0,0,0,0,0,0,0,0
Woodgamia,41,Gascoyne,Very Remote,Gascoyne Junction,0,0,0,0,0,0,0,0,0,41
Bidan,12,Kimberley,Very Remote,Roebuck,0,0,0,0,0,0,0,0,0,12
Tjalka Wara,0,Pilbara,Very Remote,Pippingarra,0,0,0,0,0,0,0,0,0,0
Wanarn,142,Goldfields - Esperance,Very Remote,Ngaanyatjarra-Giles,0,0,0,0,0,0,0,92,0,0
Pandanus Park,135,Kimberley,Very Remote,Willare,11,0,0,0,0,0,0,0,11,4
Kanpa,18,Goldfields - Esperance,Very Remote,Gibson Desert South,0,0,0,0,0,0,0,18,0,0
Punmu,145,Pilbara,Very Remote,Telfer,0,0,0,0,0,0,0,130,0,0
Kundat Djaru,179,Kimberley,Very Remote,Sturt Creek,68,0,0,0,0,32,0,0,4,0
Wandanooka,40,Mid West,Remote,Mullewa,0,0,0,0,0,0,0,40,0,0
Kunawarritji,83,Pilbara,Very Remote,Gibson Desert North,0,0,0,0,0,0,0,83,0,0
Looma,531,Kimberley,Very Remote,Camballin,67,0,0,0,0,9,0,0,4,231
Djoodood,0,Kimberley,Very Remote,Dampier Peninsula,0,0,0,0,0,0,0,0,0,0
Cheeditha,65,Pilbara,Very Remote,Roebourne,0,0,0,0,0,0,0,0,0,65