City / Town,,Region,Remoteness Areas,Australian Indigenious Language nfd,Arnhem Land and Daly River Region Languages,Yolngu Matha,Cape York Peninsula Languages,Torres Strait Island Languages,Northern Desert Fringe Area Languages,Arandic,Western Desert Languages,Kimberley Area Languages,Other Australian Indigenous Languages,Total
Perth,"1,874,578",Perth,Major Cities of Australia,176,5,3,0,30,8,4,64,17,400,707
,,Perth,Remote,0,0,0,0,0,0,0,0,0,0,0
Bunbury,"71,090",South West,Inner Regional Australia,9,0,0,0,0,0,0,0,0,11,20
,,South West,Outer Regional Australia,0,0,0,0,0,0,0,0,0,0,0
Geraldton,"31,982",Mid West,Inner Regional Australia,0,0,0,0,0,0,0,0,0,0,0
,,Mid West,Outer Regional Australia,23,0,0,0,0,0,0,4,0,37,64
Kalgoorlie-Boulder,"29,875",Goldfields-Esperance,Inner Regional Australia,0,0,0,0,0,0,0,0,0,0,0
,,Goldfields-Esperance,Outer Regional Australia,64,0,0,0,3,0,0,111,0,0,178
Albany,"29,373",Great Southern,Inner Regional Australia,0,0,0,0,0,0,0,0,0,0,0
,,Great Southern,Outer Regional Australia,8,0,0,0,0,4,0,0,0,8,20
Busselton,"25,329",South West,Inner Regional Australia,9,0,0,0,0,0,0,0,0,9,18
,,South West,Outer Regional Australia,0,0,0,0,0,0,0,0,0,0,0
Karratha,"15,828",Pilbara,Remote,43,0,0,0,3,3,0,5,0,68,122
,,Pilbara,Very Remote,0,0,0,0,0,0,0,0,0,0,0
Broome,"13,984",Kimberley,Remote,41,0,0,0,0,9,0,4,75,72,201
,,Kimberley,Very Remote,42,0,4,0,8,18,0,29,263,180,544
Port Hedland,"13,828",Pilbara,Remote,49,0,0,0,44,0,0,10,6,63,172
,,Pilbara,Very Remote,6,0,0,0,0,0,0,0,0,132,138
Esperance,"10,421",Goldfields-Esperance,Remote,6,0,0,0,0,0,0,3,4,3,16
,,Goldfields-Esperance,Very Remote,0,0,0,0,0,0,0,0,0,0,0
Yanchep,"8,859",Perth,Remote,0,0,0,0,0,0,0,0,0,0,0
,,Perth,Very Remote,0,0,0,0,0,0,0,0,0,0,0
Collie,"7,192",South West,Inner Regional Australia,0,0,0,0,0,0,0,0,0,8,8
,,South West,Outer Regional Australia,0,0,0,0,0,0,0,0,0,0,0
Northam,"6,548",Wheatbelt,Inner Regional Australia,0,0,0,0,0,0,0,0,0,10,10
,,Wheatbelt,Outer Regional Australia,0,0,0,0,0,0,0,0,0,0,0
Margaret River,"6,392",South West,Inner Regional Australia,0,0,0,0,0,0,0,0,0,0,0
,,South West,Outer Regional Australia,0,0,0,0,0,0,0,0,0,0,0
Dunsborough,"6,039",South West,Inner Regional Australia,0,0,0,0,0,0,0,0,0,0,0
,,South West,Outer Regional Australia,0,0,0,0,0,0,0,0,0,0,0
Newman,"4,567",Pilbara,Remote,0,0,0,0,0,0,0,0,0,0,0
,,Pilbara,Very Remote,10,0,0,0,3,0,0,72,0,7,92
Carnarvon,"4,426",Gascoyne,Remote,0,0,0,0,0,0,0,0,0,0,0
,,Gascoyne,Very Remote,7,0,0,0,0,0,0,0,0,5,12
Kununurra,"4,341",Kimberley,Remote,0,0,0,0,0,0,0,0,0,0,0
,,Kimberley,Very Remote,43,4,0,0,0,27,0,0,106,36,216
Narrogin,"4,274",Wheatbelt,Inner Regional Australia,0,0,0,0,0,0,0,0,0,0,0
,,Wheatbelt,Outer Regional Australia,0,0,0,0,0,0,0,0,0,6,6
Manjimup,"4,213",South West,Inner Regional Australia,0,0,0,0,0,0,0,0,0,0,0
,,South West,Outer Regional Australia,0,0,0,0,0,0,0,0,0,0,0
Pinjarra,"3,896",Peel,Inner Regional Australia,0,0,0,0,0,0,0,0,0,0,0
,,Peel,Outer Regional Australia,0,0,0,0,0,0,0,0,0,0,0
Katanning,"3,702",Great Southern,Inner Regional Australia,0,0,0,0,0,0,0,0,0,0,0
,,Great Southern,Outer Regional Australia,0,0,0,0,0,0,0,0,0,6,6
Derby,"3,325",Kimberley,Remote,0,0,0,0,0,0,0,0,0,0,0
,,Kimberley,Very Remote,118,0,0,0,0,41,4,3,118,617,901
Tom Price,"2,956",Pilbara,Remote,0,0,0,0,0,0,0,0,0,0,0
,,Pilbara,Very Remote,5,0,0,0,0,0,0,0,0,3,8
Port Denison-Dongara,"2,782",Mid West,Inner Regional Australia,0,0,0,0,0,0,0,0,0,0,0
,,Mid West,Outer Regional Australia,0,0,0,0,0,0,0,0,0,12,12
Harvey,"2,750",South West,Inner Regional Australia,0,0,0,0,0,0,0,0,0,4,4
,,South West,Outer Regional Australia,0,0,0,0,0,0,0,0,0,0,0
Merredin,"2,636",Wheatbelt,Remote,0,0,0,0,0,0,0,0,0,3,3
,,Wheatbelt,Very Remote,0,0,0,0,0,0,0,0,0,0,0
Denmark,"2,558",Great Southern,Inner Regional Australia,0,0,0,0,0,0,0,0,0,0,0
,,Great Southern,Outer Regional Australia,0,0,0,0,0,0,0,3,3,0,6
York,"2,548",Wheatbelt,Inner Regional Australia,0,0,0,0,0,0,0,0,0,0,0
,,Wheatbelt,Outer Regional Australia,0,0,0,0,0,0,0,0,0,0,0
Donnybrook,"2,520",South West,Inner Regional Australia,3,0,0,0,0,0,0,0,0,0,3
,,South West,Outer Regional Australia,0,0,0,0,0,0,0,0,0,0,0
Exmouth,"2,486",Gascoyne,Remote,0,0,0,0,0,0,0,0,0,0,0
,,Gascoyne,Very Remote,4,0,0,0,0,0,0,0,0,141,145
Waroona,"2,397",Peel,Inner Regional Australia,0,0,0,0,0,0,0,0,0,0,0
,,Peel,Outer Regional Australia,0,0,0,0,0,0,0,0,0,0,0
Two Rocks,"2,269",Perth,Remote,0,0,0,0,0,0,0,0,0,0,0
,,Perth,Very Remote,0,0,0,0,0,0,0,0,0,0,0
Drummond Cove,"2,052",Mid West,Inner Regional Australia,0,0,0,0,0,0,0,0,0,0,0
,,Mid West,Outer Regional Australia,5,0,0,0,0,0,0,0,0,17,22
Capel,"2,020",South West,Inner Regional Australia,0,0,0,0,0,0,0,0,0,3,3
,,South West,Outer Regional Australia,0,0,0,0,0,0,0,0,0,0,0
Mount Barker,"1,905",Great Southern,Inner Regional Australia,0,0,0,0,0,0,0,0,0,0,0
,,Great Southern,Outer Regional Australia,8,0,0,0,0,0,0,0,0,0,8
Bullsbrook,"1,887",Perth,Remote,0,0,0,0,0,0,0,0,0,0,0
,,Perth,Very Remote,0,0,0,0,0,0,0,0,0,0,0
Kambalda West,"1,789",Goldfields-Esperance,Remote,0,0,0,0,0,0,0,0,0,0,0
,,Goldfields-Esperance,Very Remote,0,0,0,0,0,0,0,0,0,0,0
Little Grove,"1,703",Great Southern,Inner Regional Australia,0,0,0,0,0,0,0,0,0,0,0
,,Great Southern,Outer Regional Australia,8,0,0,0,0,0,0,0,0,0,8
Moora,"1,577",Wheatbelt,Inner Regional Australia,0,0,0,0,0,0,0,0,0,0,0
,,Wheatbelt,Outer Regional Australia,11,0,0,0,0,0,0,0,0,0,11
Wickham,"1,572",Pilbara,Remote,8,0,0,0,4,0,0,0,0,15,27
,,Pilbara,Very Remote,0,0,0,0,0,0,0,0,0,0,0
Cowaramup,"1,546",South West,Inner Regional Australia,0,0,0,0,0,0,0,0,0,0,0
,,South West,Outer Regional Australia,0,0,0,0,0,0,0,0,0,0,0
Halls Creek,"1,546",Kimberley,Remote,0,0,0,0,0,0,0,0,0,0,0
,,Kimberley,Very Remote,115,0,29,0,0,102,0,3,114,99,462
Mundijong,"1,484",Peel,Inner Regional Australia,0,0,0,0,0,0,0,0,0,0,0
,,Peel,Outer Regional Australia,0,0,0,0,0,0,0,0,0,0,0
Bridgetown,"1,448",South West,Inner Regional Australia,0,0,0,0,0,0,0,0,0,0,0
,,South West,Outer Regional Australia,0,0,0,0,0,0,0,0,0,5,5
Jurien Bay,"1,425",Wheatbelt,Remote,0,0,0,0,0,0,0,0,0,0,0
,,Wheatbelt,Very Remote,0,0,0,0,0,0,0,0,0,0,0
Paraburdoo,"1,359",Pilbara,Remote,0,0,0,0,0,0,0,0,0,0,0
,,Pilbara,Very Remote,3,0,0,0,0,0,0,0,0,0,3
Wagin,"1,358",Wheatbelt,Inner Regional Australia,0,0,0,0,0,0,0,0,0,0,0
,,Wheatbelt,Outer Regional Australia,0,0,0,0,0,0,0,0,0,0,0
Kalbarri,"1,349",Mid West,Remote,0,0,0,0,0,0,0,0,0,3,3
,,Mid West,Very Remote,0,0,0,0,0,0,0,0,0,0,0
Serpentine,"1,265",Peel,Remote,0,0,0,0,0,0,0,0,0,0,0
,,Peel,Very Remote,0,0,0,0,0,0,0,0,0,0,0
Binningup,"1,227",South West,Inner Regional Australia,0,0,0,0,0,0,0,0,0,0,0
,,South West,Outer Regional Australia,0,0,0,0,0,0,0,0,0,0,0
Kojonup,"1,165",Great Southern,Inner Regional Australia,0,0,0,0,0,0,0,0,0,0,0
,,Great Southern,Outer Regional Australia,0,0,0,0,0,0,0,0,0,4,4
Boddington-Ranford,"1,147",Peel,Remote,0,0,0,0,0,0,0,0,0,0,0
,,Peel,Very Remote,0,0,0,0,0,0,0,0,0,0,0
Fitzroy Crossing,"1,141",Kimberley,Remote,0,0,0,0,0,0,0,0,0,0,0
,,Kimberley,Very Remote,126,0,0,0,0,208,0,31,81,1411,1857
Augusta,"1,109",South West,Inner Regional Australia,0,0,0,0,0,0,0,0,0,0,0
,,South West,Outer Regional Australia,0,0,0,0,0,0,0,0,0,0,0
Dampier,"1,104",Pilbara,Remote,0,0,0,0,0,0,0,0,0,6,6
,,Pilbara,Very Remote,4,0,0,0,0,0,0,0,0,0,4
Mandurah,"80,813",Peel,Major Cities of Australia,7,0,0,0,0,0,0,6,0,6,19
,,Peel,Inner Regional Australia,0,0,0,0,0,0,0,0,0,0,0
Wyndham,780,Kimberley,Remote,0,0,0,0,0,0,0,0,0,0,0
,,Kimberley,Very Remote,0,0,0,0,0,0,0,0,3,0,3
,"2,325,735",,,,,,,,,,,,,