,,
Perth,"1,874,578",Perth
Bunbury,"71,090",South West
Geraldton,"31,982",Mid West
Kalgoorlie-Boulder,"29,875",Goldfields-Esperance
Albany,"29,373",Great Southern
Busselton,"25,329",South West
Karratha,"15,828",Pilbara
Broome,"13,984",Kimberley
Port Hedland,"13,828",Pilbara
Esperance,"10,421",Goldfields-Esperance
Yanchep,"8,859",Perth
Collie,"7,192",South West
Northam,"6,548",Wheatbelt
Margaret River,"6,392",South West
Dunsborough,"6,039",South West
Newman,"4,567",Pilbara
Carnarvon,"4,426",Gascoyne
Kununurra,"4,341",Kimberley
Narrogin,"4,274",Wheatbelt
Manjimup,"4,213",South West
Pinjarra,"3,896",Peel
Katanning,"3,702",Great Southern
Derby,"3,325",Kimberley
Tom Price,"2,956",Pilbara
Port Denison-Dongara,"2,782",Mid West
Harvey,"2,750",South West
Merredin,"2,636",Wheatbelt
Denmark,"2,558",Great Southern
York,"2,548",Wheatbelt
Donnybrook,"2,520",South West
Exmouth,"2,486",Gascoyne
Waroona,"2,397",Peel
Two Rocks,"2,269",Perth
Drummond Cove,"2,052",Mid West
Capel,"2,020",South West
Mount Barker,"1,905",Great Southern
Bullsbrook,"1,887",Perth
Kambalda West,"1,789",Goldfields-Esperance
Little Grove,"1,703",Great Southern
Moora,"1,577",Wheatbelt
Wickham,"1,572",Pilbara
Cowaramup,"1,546",South West
Halls Creek,"1,546",Kimberley
Mundijong,"1,484",Peel
Bridgetown,"1,448",South West
Jurien Bay,"1,425",Wheatbelt
Paraburdoo,"1,359",Pilbara
Wagin,"1,358",Wheatbelt
Kalbarri,"1,349",Mid West
Serpentine,"1,265",Peel
Binningup,"1,227",South West
Kojonup,"1,165",Great Southern
Boddington-Ranford,"1,147",Peel
Fitzroy Crossing,"1,141",Kimberley
Augusta,"1,109",South West
Dampier,"1,104",Pilbara